//Card Title,Card ID,Card Value,Card Type,Card Sub Type,Card Badge,Card Series,Year,Peak,Team,Franchise,LastName,FirstName,NickName,Nation,UniformNumber,DayOB,MonthOB,YearOB,Bats,Throws,Position,Pitcher Role,Contact,Gap,Power,Eye,Avoid Ks,BABIP,Contact vL,Gap vL,Power vL,Eye vL,Avoid K vL,BABIP vL,Contact vR,Gap vR,Power vR,Eye vR,Avoid K vR,BABIP vR,GB Hitter Type,FB Hitter Type,BattedBallType,Speed,Steal Rate,Stealing,Baserunning,Sac bunt,Bunt for hit,Stuff,Movement,Control,pHR,pBABIP,Stuff vL,Movement vL,Control vL,pHR vL,pBABIP vL,Stuff vR,Movement vR,Control vR,pHR vR,pBABIP vR,Fastball,Slider,Curveball,Changeup,Cutter,Sinker,Splitter,Forkball,Screwball,Circlechange,Knucklecurve,Knuckleball,Stamina,Hold,GB,Velocity,Arm Slot,Height,Infield Range,Infield Error,Infield Arm,DP,CatcherAbil,CatcherFrame,Catcher Arm,OF Range,OF Error,OF Arm,Pos Rating P,Pos Rating C,Pos Rating 1B,Pos Rating 2B,Pos Rating 3B,Pos Rating SS,Pos Rating LF,Pos Rating CF,Pos Rating RF,LearnC,Learn1B,Learn2B,Learn3B,LearnSS,LearnLF,LearnCF,LearnRF,era,tier,MissionValue,limit,owned,brefid,Buy Order High,Sell Order Low,Last 10 Price,Last 10 Price(VAR),date,Unnamed: 121,PIT,SP_Rating,SP_Rating_Normalized,RP_Rating,RP_Rating_Normalized,CL_Rating,CL_Rating_Normalized
Snapshot SP Bob Knepper HOU 1982,70620,65,7,,,,1982,N,Houston Astros,HOU,Knepper,Bob,,The United States,39,25,5,1954,2,2,1,11,10,42,17,38,11,8,10,36,22,41,10,8,11,45,16,38,12,9,0,1,0,9,4,11,10,58,49,74,70,63,74,63,91,95,66,112,63,69,64,63,65,63,0,0,84,76,85,87,0,0,0,0,0,0,64,33,2,0.0,4,188,33,21,26,25,0,0,0,2,1,8,63,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,1,2,0,0,kneppbo01,71,0,71,517,2025-03-14,,12,55.16109478419573,55.9245454780813,53.39576329891528,55.349356311134706,55.01053653253639,57.89911513164414
Snapshot SP Phil Knell LS3 1894,70651,67,7,,,,1894,N,Louisville Colonels,OAK,Knell,Phil,,The United States,97,12,3,1865,1,2,1,11,25,45,31,14,17,30,25,46,32,15,18,30,25,45,31,14,17,30,0,2,0,78,74,65,88,6,4,78,70,61,77,56,78,70,62,78,56,78,70,61,77,56,65,69,105,71,0,0,0,0,0,0,0,0,86,55,2,0.0,4,170,26,19,22,22,0,0,0,2,8,9,51,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,0,0,knellph01,0,66,56,469,2025-03-14,,12,54.38224597791885,55.102694752695875,53.66164274023284,55.63592754939483,50.21197898467291,52.73467552726457
Unsung Heroes SP Chris Knapp CAL 1978,70387,64,8,,,,1978,N,California Angels,ANA,Knapp,Chris,,The United States,42,16,9,1953,1,1,1,11,3,3,1,3,1,1,3,3,2,3,1,1,3,3,1,3,1,1,1,1,0,11,3,6,18,24,53,99,68,63,48,108,80,80,46,69,102,115,52,77,21,114,70,75,120,0,68,0,0,0,0,0,0,0,70,33,4,0.0,3,196,32,20,25,23,0,0,0,2,1,1,61,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,1,2,0,0,knappch01,26,60,61,580,2025-03-14,,12,56.06053162312203,56.87364216097095,56.47359270747186,58.66671466119234,58.92985289608647,62.11727286927992
MLB 2025 Live SP Landon Knack LAD,72641,66,1,,,,2025,N,Los Angeles Dodgers,LAD,Knack,Landon,Knackers,The United States,96,15,7,1997,2,1,1,11,25,26,31,18,17,30,24,26,31,17,16,30,25,27,32,19,18,31,2,2,0,25,20,22,33,49,11,74,81,75,72,100,71,77,75,69,95,76,84,76,75,104,87,90,93,90,0,0,0,0,0,0,0,0,54,53,4,0.0,3,188,22,29,48,18,3,3,1,31,33,45,63,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,1,8,1,2,0,1,knackla01,0,55,49,0,2025-03-14,,12,61.1305962713373,62.22363599200133,58.79812394496248,61.172150176631014,57.24293962831065,60.3017352619142
Unsung Heroes 2B Otto Knabe PHI 1912,70496,64,8,,,,1912,N,Philadelphia Phillies,PHI,Knabe,Otto,Dutch,The United States,57,12,6,1884,1,1,4,0,80,47,17,96,128,53,84,56,10,99,112,65,79,44,20,96,135,49,0,2,0,70,79,79,69,55,37,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,29,0,0,0,0,0,0,0,0,0,0,0,1,13,2,0.0,4,173,60,58,36,56,0,0,0,7,1,10,0,0,0,57,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,2,0,0,knabeot01,0,0,64,737,2025-03-14,,12,2.8402635311890485,0.7149685081896738,2.896070964921419,0.9195768133551862,1.8434322358889814,0.6781072889771981
Snapshot RP Steve Kline MON 2000,70539,68,7,,,,2000,N,Montreal Expos,WSN,Kline,Steve,,The United States,44,22,8,1972,3,2,1,12,3,3,2,3,1,1,3,3,2,3,1,1,3,3,2,3,1,1,0,2,0,14,3,6,25,27,37,72,69,70,78,53,108,99,63,119,59,63,63,73,69,52,0,78,0,76,0,81,0,0,0,0,0,0,17,115,1,0.0,3,185,32,20,25,23,0,0,0,2,10,6,61,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,1,2,0,1,klinest02,51,59,67,623,2025-03-14,,12,54.499161530609385,55.22606546471748,51.47140582642812,53.275237676715356,47.22225208622091,49.516986910084384
Snapshot SP Steve Kline NYY 1972,70692,84,7,,,,1972,N,New York Yankees,NYY,Kline,Steve,,The United States,43,6,10,1947,1,1,1,11,5,8,5,12,5,1,6,5,5,13,5,3,5,10,5,12,6,1,0,0,0,6,3,6,7,75,16,30,109,105,94,141,29,122,102,115,136,30,99,108,76,146,39,27,29,27,0,37,0,0,0,0,0,0,81,115,1,0.0,4,191,25,28,25,23,0,0,0,4,4,7,60,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,10,0,0,klinest01,0,1249,1208,17231,2025-03-14,,12,65.52920087407294,66.86509702308724,62.34043492180871,64.99013790034068,57.46599608549618,60.54179940410928
Rookie Sensation 2B Lou Klein STL 1943,71698,84,3,,,,1943,N,St. Louis Cardinals,STL,Klein,Lou,,The United States,2,22,10,1918,1,1,4,0,73,86,73,62,72,75,87,67,123,64,79,92,69,96,61,62,70,71,2,1,0,72,34,72,79,53,7,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,29,0,14,2,0,0,0,0,0,0,0,0,1,10,2,0.0,4,180,107,62,79,110,0,0,0,3,4,7,0,0,0,121,0,98,0,0,0,0,0,1,0,1,0,0,0,1,3,10,0,0,kleinlo01,1100,1999,1487,6389,2025-03-14,,12,3.193754035229955,1.0879759838660223,3.4545413370908267,1.5215095738991884,2.203782772033558,1.065933956004055
Snapshot SS Billy Klaus BAL 1959,70958,64,7,,,,1959,N,Baltimore Orioles,BAL,Klaus,Billy,,The United States,6,9,12,1928,2,1,6,0,66,50,28,119,88,47,65,56,27,115,76,57,67,48,29,121,94,44,2,2,0,22,32,49,35,20,5,1,3,1,5,1,1,3,1,5,1,1,3,1,5,1,29,0,0,0,0,0,0,0,0,0,0,0,1,24,2,0.0,3,175,71,61,66,63,0,0,0,10,5,7,0,0,0,9,63,55,0,0,0,0,0,1,1,1,0,0,0,2,1,2,0,1,klausbi01,39,78,93,576,2025-03-14,,12,3.830645244096773,1.7600313273169972,3.8535762730715253,1.951598997686026,2.30724158748137,1.1772813345842648
MLB 2025 Live LF Heston Kjerstad BAL,71796,77,1,,,,2025,N,Baltimore Orioles,BAL,Kjerstad,Heston,,The United States,13,12,2,1999,2,1,7,0,80,79,78,59,66,100,76,76,75,57,62,93,84,80,80,61,68,103,3,2,0,73,12,12,54,49,59,1,25,7,1,73,1,24,7,1,71,1,25,8,1,75,29,0,0,0,0,0,0,0,0,0,0,0,25,0,3,0.0,3,191,10,38,38,10,1,1,4,70,78,58,0,0,0,0,0,0,84,0,29,0,1,0,0,0,1,1,1,8,2,5,0,1,kjershe01,200,299,336,0,2025-03-14,,12,12.70751603667582,11.12701326429668,12.569576265391527,11.345912819381859,13.07335518877237,12.76429324663534
All-Time Legend C Malachi Kittridge BSN Peak,71437,63,4,,,,1901,Y,Boston Beaneaters,ATL,Kittridge,Malachi,Jedediah,The United States,52,12,10,1869,1,1,2,0,60,78,72,72,90,31,58,56,96,97,74,44,61,88,66,66,98,28,0,1,0,53,61,63,56,97,100,1,8,2,9,7,1,8,2,9,7,1,8,2,9,7,33,0,0,0,0,0,0,0,0,0,0,0,1,18,1,0.0,3,170,3,8,6,4,82,96,67,5,1,6,0,86,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,2,0,0,kittrma01,26,50,48,977,2025-03-14,,12,5.677235169414966,3.7085754572962504,5.262508129250163,3.470179541741698,3.9151550917331757,2.907795577447109
MLB 2025 Live RP Andrew Kittredge BAL,71783,58,1,,,,2025,N,Baltimore Orioles,BAL,Kittredge,Andrew,,The United States,27,17,3,1990,1,1,1,12,17,17,3,15,16,19,18,18,3,16,17,20,17,17,3,15,16,19,0,0,0,13,15,11,11,40,35,67,64,100,49,96,59,55,95,44,77,74,73,104,54,111,0,79,0,0,64,73,0,0,0,0,0,0,15,50,2,0.0,3,185,23,21,41,17,0,0,0,0,0,0,54,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,8,0,1,0,1,kittran01,0,18,18,0,2025-03-14,,12,54.82901137491507,55.57412702894684,46.68148696462975,48.11254825406237,51.45352915904472,54.07089184381265
All-Time Legend LF Ron Kittle CWS Peak,71384,60,4,,,,1983,Y,Chicago White Sox,CHW,Kittle,Ron,,The United States,42,5,1,1958,1,1,7,0,40,72,123,68,41,41,41,68,125,90,44,41,40,74,122,62,41,41,0,1,2,32,31,58,47,5,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,29,0,0,0,0,0,0,0,0,0,0,0,1,12,2,0.0,4,193,32,18,23,18,0,0,0,48,44,60,0,0,51,0,0,0,54,0,0,0,1,0,0,0,1,0,0,4,1,2,0,1,kittlro01,101,0,223,619,2025-03-14,,12,2.817499547444005,0.6909476759013659,2.8593864171877286,0.880037328026947,1.8434322358889814,0.6781072889771981
MLB 2025 Live C Alejandro Kirk TOR,71916,67,1,,,,2025,N,Toronto Blue Jays,TOR,Kirk,Alejandro,,Mexico,30,6,11,1998,1,1,2,0,79,70,55,74,102,65,80,70,56,74,104,65,79,70,55,74,101,65,2,2,0,5,4,6,11,45,10,1,27,9,1,80,1,26,9,1,76,1,28,10,1,84,37,0,0,0,0,0,0,0,0,0,0,0,53,34,4,0.0,3,175,23,29,49,33,69,79,71,25,30,53,0,74,0,0,0,0,0,0,0,1,1,1,1,0,1,0,1,8,1,2,0,1,kirkal01,0,45,46,0,2025-03-14,,12,15.5429194839193,14.118965439221066,16.925922698518455,16.04128748033644,15.48607084261288,15.360974468547193
MLB 2025 Live SP George Kirby SEA,72155,95,1,,,,2025,N,Seattle Mariners,SEA,Kirby,George,,The United States,68,4,2,1998,1,1,1,11,15,15,3,7,13,16,15,15,3,7,13,16,15,15,3,7,13,16,1,1,0,20,15,21,25,43,44,70,85,133,85,86,65,77,125,77,77,74,93,139,93,94,90,75,60,0,0,74,61,0,0,0,0,0,57,49,3,0.0,3,193,23,44,56,31,2,2,1,3,3,3,79,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,8,4,75,0,0,kirbyge01,0,4988,4390,0,2025-03-14,,12,71.72761290165073,73.40573672112323,65.41360635627214,68.30247577421166,64.11561203091307,67.69843753960797
Unsung Heroes C Tom Kinslow BRO 1890,70511,66,8,,,,1890,N,Brooklyn Bridegrooms,LAD,Kinslow,Tom,,The United States,64,12,1,1866,1,1,2,0,60,109,91,49,76,46,62,111,93,50,78,47,60,109,90,49,76,46,0,0,0,69,87,75,58,7,9,1,3,1,5,1,1,3,1,5,1,1,3,1,5,1,33,0,0,0,0,0,0,0,0,0,0,0,1,18,2,0.0,4,178,7,1,1,7,63,97,58,5,10,3,0,74,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,2,0,0,kinslto01,0,99,41,1484,2025-03-14,,12,3.828864724116715,1.758152500996175,3.813364882267298,1.9082581963144538,2.434589809878048,1.3143396477820648
MLB 2025 Live CL Tyler Kinley COL,72587,46,1,,,,2025,N,Colorado Rockies,COL,Kinley,Tyler,,The United States,40,31,1,1991,1,1,1,13,28,29,9,22,19,36,28,29,10,23,20,37,28,29,9,22,19,36,0,0,0,15,9,15,22,54,12,80,55,60,44,79,75,52,59,42,73,88,60,61,47,87,111,114,0,71,0,0,0,0,0,0,0,0,15,35,3,0.0,3,193,30,25,41,23,2,2,3,12,25,28,68,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,8,0,1,0,1,kinlety01,0,16,14,0,2025-03-14,,12,48.94694381679421,49.36729785947499,45.81317428826349,47.17666002731514,47.58488821326492,49.907273440527
Brooks Robinson Mission - Snapshot 3B Dave Kingman SF 1973,71037,77,7,,,Brooks Robinson Mission,1973,N,San Francisco Giants,SFG,Kingman,Dave,Kong,The United States,26,21,12,1948,1,1,5,0,29,64,136,97,27,34,33,48,138,95,18,50,28,70,136,98,30,30,1,1,2,55,79,71,61,7,10,39,40,23,60,1,35,34,22,51,1,43,45,25,67,1,51,53,0,0,0,0,0,0,0,0,0,0,1,14,4,0.0,3,198,95,59,101,36,0,0,0,58,70,49,0,0,116,0,90,0,67,0,0,0,1,0,1,0,1,0,0,3,2,5,0,0,kingmda01,222,350,462,4601,2025-03-14,,12,26.679693163187437,25.870624365826593,21.345605127912105,20.80492719701195,20.638757736894657,20.906545194826084
Snapshot CF Mike Kingery COL 1994,70859,78,7,,,,1994,N,Colorado Rockies,COL,Kingery,Mike,,The United States,12,29,3,1961,2,2,8,0,124,111,34,64,117,117,119,44,60,37,87,147,127,153,26,73,131,111,0,2,0,74,72,61,76,35,7,1,3,1,5,1,1,3,1,5,1,1,3,1,5,1,29,0,0,0,0,0,0,0,0,0,0,0,1,18,2,0.0,3,183,4,4,4,2,0,0,0,68,59,64,0,0,0,0,0,0,80,48,70,0,0,0,0,0,1,1,1,5,2,5,0,0,kingemi01,220,650,685,17967,2025-03-14,,12,3.694061341626513,1.6159063335871497,3.6334689866693797,1.7143620857165884,2.30724158748137,1.1772813345842648
Snapshot SP Silver King CHC 1890,70755,70,7,,,,1890,N,Chicago Colts,CHC,King,Silver,,The United States,16,11,1,1868,1,1,1,11,44,66,54,56,74,9,46,68,57,59,78,10,44,66,54,56,73,9,0,1,0,86,93,81,60,6,9,67,91,66,80,114,68,93,67,82,117,66,90,66,79,112,72,0,92,84,0,0,0,0,0,0,0,0,85,53,2,0.0,3,183,28,36,30,27,0,0,0,8,10,5,74,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,5,0,1,kingsi01,205,350,433,4183,2025-03-14,,12,59.66492716575282,60.67704414016586,57.417656155353136,59.68424888615832,55.97985087588656,58.94233808645056
MLB 2025 Live SP Michael King SD,72648,91,1,,,,2025,N,San Diego Padres,SDP,King,Michael,,The United States,34,25,5,1995,1,1,1,11,15,18,2,20,12,19,16,19,3,21,13,20,15,18,2,20,12,19,0,0,0,14,15,8,19,39,31,90,90,76,89,94,80,80,75,78,84,98,101,77,100,103,132,126,0,118,0,0,0,0,0,0,0,0,61,54,3,0.0,3,191,15,29,43,23,1,1,1,2,2,2,54,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,8,4,50,0,0,kingmi01,4001,4285,4273,0,2025-03-14,,12,67.9807414776157,69.45199246042473,63.49201569484032,66.23133927510233,63.42758812918611,66.95795295618964
Unsung Heroes RP Michael King NYY 2022,70732,84,8,,,,2022,N,New York Yankees,NYY,King,Michael,,The United States,34,25,5,1995,1,1,1,12,3,2,2,2,1,1,3,3,2,3,1,1,3,2,2,2,1,1,1,2,0,5,5,6,5,30,57,107,88,75,97,70,108,77,82,83,66,107,97,69,109,74,80,117,0,101,0,109,0,0,0,0,0,0,24,101,2,0.0,3,191,27,17,22,23,0,0,0,5,8,2,52,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,3,10,0,0,kingmi01,0,2199,1906,5210,2025-03-14,,12,68.84660334091804,70.36566042101428,62.4312601616252,65.08803152201563,60.83166335040681,64.16409321734226
MLB 2025 Live RP John King STL,72534,76,1,,,,2025,N,St. Louis Cardinals,STL,King,John,,The United States,47,14,9,1994,2,2,1,12,15,8,6,8,15,14,14,8,6,8,14,14,16,9,7,9,16,15,0,0,0,10,5,13,12,42,10,55,89,94,100,69,59,100,102,113,74,53,87,91,97,67,0,61,0,57,0,64,0,0,0,0,0,0,17,68,0,0.0,4,188,30,14,68,9,2,2,2,29,21,10,61,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,8,2,5,0,1,kingjo01,102,386,201,0,2025-03-14,,12,58.74123464809816,59.7023525703136,51.58871481777431,53.40167612093103,50.813590866202,53.38215931722505
Rookie Sensation RF Jim King CHC 1955,71609,68,3,,,,1955,N,Chicago Cubs,CHC,King,Jim,,The United States,48,27,8,1932,2,1,9,0,57,82,81,63,72,42,54,66,73,58,65,42,58,91,86,66,75,43,0,2,0,48,24,67,41,22,5,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,29,0,0,0,0,0,0,0,0,0,0,0,1,9,2,0.0,3,183,3,2,8,5,0,0,0,99,109,93,0,0,0,0,0,0,56,0,122,0,0,0,0,0,1,0,1,2,1,2,0,0,kingji01,56,175,88,1244,2025-03-14,,12,2.749207596208875,0.618885179036442,2.7493327739866555,0.7614188720422279,1.8434322358889814,0.6781072889771981
Snapshot SP Eric King CWS 1990,70706,70,7,,,,1990,N,Chicago White Sox,CHW,King,Eric,,The United States,36,10,4,1964,1,1,1,11,3,3,2,3,1,1,3,3,2,3,1,1,3,3,2,3,1,1,0,0,0,15,5,6,25,21,45,48,102,73,86,135,44,95,56,80,127,51,107,89,90,142,54,52,37,55,0,0,0,0,0,0,0,0,68,75,2,0.0,3,188,23,20,22,23,0,0,0,6,7,5,49,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,2,5,0,0,kinger01,201,450,479,6556,2025-03-14,,12,62.61652169469496,63.79160255651705,57.228266150565325,59.480119796984745,54.93636472379995,57.819287845476126
MLB 2025 Live RP Bryan King HOU,72243,54,1,,,,2025,N,Houston Astros,HOU,King,Bryan,,The United States,9,5,11,1996,1,2,1,12,13,15,2,7,12,13,14,16,2,8,13,14,13,15,2,7,12,13,1,1,0,7,6,4,12,73,1,79,66,64,58,84,94,75,67,63,101,76,64,64,57,79,80,88,97,0,0,76,0,0,0,0,0,0,15,55,2,0.0,3,185,33,17,52,9,3,3,1,23,30,28,64,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1,8,0,1,0,1,kingbr02,0,19,17,0,2025-03-14,,12,54.99378179506965,55.747994778675356,51.88241658864833,53.718234933231344,50.1943157864501,52.715665539464695
MLB 2025 Live SS Isiah Kiner-Falefa PIT,72512,50,1,,,,2025,N,Pittsburgh Pirates,PIT,Kiner-Falefa,Isiah,Izzy,The United States,7,23,3,1995,1,1,6,0,89,70,24,49,92,83,94,72,25,51,98,85,88,70,24,49,91,82,1,1,0,63,55,81,62,64,44,1,21,1,1,61,1,20,1,1,60,1,21,1,1,63,5,0,0,0,0,0,0,0,0,0,0,0,7,0,3,0.0,3,180,78,73,81,74,29,30,54,61,59,73,0,0,0,86,81,72,34,19,9,1,1,1,1,1,1,1,1,8,0,1,0,1,kineris01,0,13,13,0,2025-03-14,,12,9.129203088752925,7.351133956007673,8.319086338381728,6.764632839405806,9.192110542547136,8.587110131643547
Immortal Seasons 1 CL Craig Kimbrel ATL 2012,73215,100,5,IMM,,,2012,N,Atlanta Braves,ATL,Kimbrel,Craig,Dirty Craig,The United States,46,28,5,1988,1,1,1,13,3,3,1,2,1,1,3,3,1,3,1,1,3,3,1,2,1,1,1,0,0,5,4,6,5,27,58,160,128,93,120,145,160,134,84,136,131,160,128,100,114,156,149,0,0,0,0,0,0,0,0,0,168,0,15,53,2,0.0,3,183,25,76,41,23,0,0,0,2,8,4,94,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,5,200,0,0,kimbrcr01,95001,0,99493,500000,2025-04-24,,12,86.90516116986218,89.42127009971252,73.52449304348987,77.04458396364232,75.66568154270999,80.12918070046044
MLB 2025 Live SS Ha-seong Kim TB,71886,82,1,,,,2025,N,Tampa Bay Rays,TBD,Kim,Ha-seong,,South Korea,7,17,10,1995,1,1,6,0,74,80,57,98,85,65,75,82,58,100,87,66,74,80,57,98,84,65,0,0,0,70,70,81,74,64,51,1,21,2,1,63,1,21,2,1,62,1,21,2,1,63,5,0,0,0,0,0,0,0,0,0,0,0,9,0,3,0.0,4,175,76,83,79,72,2,2,1,46,34,25,0,0,0,88,38,74,0,0,0,0,1,1,1,1,1,1,1,8,3,10,0,0,kimha01,0,1082,1076,0,2025-03-14,,12,9.40187600569899,7.638861731641464,8.69787146595743,7.172896534056183,9.62522725449,9.053251274719408
Rivalry Week - Historical All-Star CL Byung-hyun Kim ARI 2002,73505,88,5,,,Rivalry Week,2002,N,Arizona Diamondbacks,ARI,Kim,Byung-hyun,,South Korea,49,19,1,1979,1,1,1,13,3,3,1,3,1,1,3,3,1,3,1,1,3,3,1,3,1,1,0,0,0,5,5,6,6,22,33,121,102,90,103,101,116,93,81,102,77,126,109,98,104,121,77,92,0,122,0,74,0,0,0,0,0,0,19,112,2,0.0,2,178,35,20,26,23,0,0,0,9,10,8,65,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,3,15,0,0,kimby01,8133,12888,10993,30278,2025-05-15,,12,77.30854661114427,79.29480579397823,69.18655021373101,72.36904514775911,67.84009818703568,71.70690958954872
Snapshot SP Ed Killian DET 1904,70648,55,7,,,,1904,N,Detroit Tigers,DET,Killian,Ed,Twilight Ed,The United States,9,12,11,1876,2,2,1,11,24,85,7,44,31,9,17,75,7,37,22,11,25,90,8,47,34,9,0,0,0,82,94,81,88,25,7,59,81,54,74,95,62,86,56,78,102,58,79,54,73,93,58,60,83,70,0,0,0,0,0,0,0,0,95,65,2,0.0,3,180,25,27,23,17,0,0,0,1,7,1,58,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,killied01,0,13,11,1198,2025-03-14,,12,54.59173698757256,55.32375221193325,54.778256077565125,56.8394401833592,51.47763059398424,54.096830973203616
Snapshot C Bill Killefer PHI 1915,71153,46,7,,,,1915,N,Philadelphia Phillies,PHI,Killefer,Bill,Reindeer Bill,The United States,37,10,10,1887,1,1,2,0,72,54,19,53,130,31,75,42,28,59,123,42,71,58,16,52,132,28,0,2,0,63,78,74,65,21,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,33,0,0,0,0,0,0,0,0,0,0,0,1,7,2,0.0,3,183,9,6,7,10,56,102,70,6,4,7,0,78,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,killebi01,15,25,18,365,2025-03-14,,12,2.8384830112089903,0.7130896818688516,2.8558595741171913,0.8762360119836134,1.9707804582856596,0.8151656021749983
Theme Week - Historical All-Star 1B Harmon Killebrew MIN 1967,73455,92,5,,,Theme Week,1967,N,Minnesota Twins,MIN,Killebrew,Harmon,Killer,The United States,3,29,6,1936,1,1,3,0,71,62,153,153,73,70,71,38,126,170,70,75,71,70,162,148,75,69,0,2,2,11,4,16,20,5,6,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,29,0,0,0,0,0,0,0,0,0,0,0,1,22,2,0.0,4,183,45,51,51,44,0,0,0,45,54,44,0,0,72,0,36,0,48,0,0,0,1,0,1,0,1,0,0,3,4,50,0,1,killeha01,5007,14999,21641,46464,2025-05-08,,12,3.0451393848944392,0.9311559987844458,3.2262318945246378,1.275432181309343,1.8434322358889814,0.6781072889771981
Astros Live 2 - Historical All-Star SP Darryl Kile HOU 1997,72723,93,5,,ME,Astros Live 2,1997,N,Houston Astros,HOU,Kile,Darryl,,The United States,57,2,12,1968,1,1,1,11,15,52,15,38,15,15,14,74,24,38,18,9,16,44,12,39,15,18,1,1,0,5,5,6,5,68,31,85,111,84,108,117,87,109,80,103,121,84,113,87,112,115,74,0,121,109,0,0,0,0,0,0,0,0,89,99,2,0.0,3,196,32,14,24,27,0,0,0,4,7,9,56,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,4,50,0,0,kileda01,0,4884,4633,0,2025-03-14,,12,74.04060017974527,75.84642900567104,69.9231894004638,73.16301252954251,66.88233524517725,70.67611881144435
MLB 2025 Live SP Yusei Kikuchi LAA,72092,70,1,,,,2025,N,Los Angeles Angels,ANA,Kikuchi,Yusei,,Japan,16,17,6,1991,2,2,1,11,34,31,2,16,53,19,33,31,2,16,51,19,35,32,3,17,54,20,2,2,0,14,19,12,11,46,1,84,66,76,72,56,92,68,79,74,57,82,65,76,71,55,123,120,116,88,0,0,0,0,0,0,0,0,58,79,3,0.0,3,183,22,29,36,6,2,2,2,48,15,17,59,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1,8,2,5,0,1,kikucyu01,0,209,160,0,2025-03-14,,12,60.09098080798102,61.12662112108488,60.40394001307881,62.90293724605494,56.051360748740116,59.019300468538376
Rays Live 1 - All-Time Legend CF Kevin Kiermaier TB 2015,72766,83,4,,ME,Rays Live 1,2015,N,Tampa Bay Rays,TBD,Kiermaier,Kevin,Outlaw,The United States,39,22,4,1990,2,1,8,0,81,104,73,65,79,82,75,73,62,55,69,80,85,117,77,69,84,83,0,0,0,107,79,80,96,9,6,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,46,0,20,4,0,0,0,0,0,0,0,0,1,10,2,0.0,4,185,3,8,6,4,0,0,0,107,79,104,0,0,0,0,0,0,0,120,128,0,0,0,0,0,0,1,1,7,3,10,0,1,kiermke01,0,1234,1233,0,2025-03-14,,12,3.967871972559834,1.904834638846426,4.549228797984575,2.70138997240455,2.9489852282446494,1.867956863877907
Rookie Sensation CF Bill Kienzle PHI 1884,71644,62,3,,,,1884,N,Philadelphia Quakers,PHI,Kienzle,Bill,,The United States,6,12,3,1860,2,2,8,0,84,107,20,81,152,49,78,101,19,78,129,48,87,109,21,83,160,50,1,0,0,88,91,85,97,4,1,1,1,1,2,1,1,1,1,2,1,1,1,1,2,1,33,0,0,0,0,0,0,0,0,0,0,0,1,8,2,0.0,3,173,8,7,3,1,0,0,0,62,54,56,0,0,0,0,0,0,0,37,0,0,0,0,0,0,0,1,0,0,1,2,0,0,kienzbi01,0,50,42,702,2025-03-14,,12,2.9308565641744067,0.8105633775325352,2.973233379464667,1.0027443142842571,2.0483890328708823,0.8986917018892395
MLB 2025 Live SP Clayton Kershaw LAD,72613,83,1,,,,2025,N,Los Angeles Dodgers,LAD,Kershaw,Clayton,Kid K,The United States,22,19,3,1988,2,2,1,11,31,31,1,19,45,21,30,31,1,19,42,21,32,32,2,20,46,22,0,0,0,15,7,17,22,44,13,71,86,96,79,100,74,90,100,83,104,70,86,95,79,100,70,77,89,0,0,0,85,0,0,0,0,0,45,78,2,0.0,4,193,17,41,50,18,1,1,1,0,0,0,69,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,8,3,10,0,1,kershcl01,0,1333,1183,0,2025-03-14,,12,65.13275275551317,66.44676015052588,62.37077077941542,65.0228346151937,61.24279383531706,64.6065717200297
